E_NA1,E_MG1,E_AL1,E_CA1,E_SC1,E_SC2,E_TI1,E_V1,E_CR1,E_CR2,E_FE1,E_FE2,E_CO1,E_NI1,E_Y2,E_FEH
0.07,0.07,0.04,0.11,0.14,0.18,0.1,0.1,0.13,0.17,0.09,0.1,0.09,0.13,0.13,0.06337012
0.23,0.1,0.06,0.25,0.17,0.26,0.23,0.28,0.19,0.54,0.19,0.16,0.16,0.29,0.27,0.06540868
0.12,0.1,0.04,0.12,0.12,0.13,0.13,0.12,0.15,0.22,0.1,0.1,0.07,0.1,0.14,0.06691878
0.11,0.12,0.02,0.14,0.17,0.14,0.13,0.16,0.19,0.13,0.11,0.11,0.08,0.15,0.17,0.06381121
0.15,0.08,0.1,0.16,0.27,0.26,0.2,0.17,0.31,0.19,0.14,0.11,0.14,0.25,0.16,0.06704757
0.37,0.04,0.03,0.27,0.25,0.26,0.29,0.35,0.23,0.18,0.12,0.12,0.14,0.31,0.13,0.06428017
0.07,0.1,0.06,0.11,0.14,0.3,0.2,0.19,0.35,0.26,0.15,0.17,0.12,0.28,0.25,0.06776119
0.1,0.13,0.03,0.14,0.13,0.23,0.16,0.14,0.17,0.38,0.11,0.12,0.09,0.19,0.17,0.06836431
0.5,0.08,0.03,0.28,0.28,0.24,0.26,0.37,0.21,0.21,0.12,0.16,0.14,0.34,0.23,0.12631649
0.29,0.1,0.04,0.12,0.05,0.17,0.21,0.15,0.24,0.48,0.14,0.14,0.16,0.2,0.2,0.06823622
0.51,0.09,0.05,0.18,0.06,0.32,0.23,0.12,0.28,0.24,0.15,0.16,0.06,0.29,0.25,0.06790123
0.42,0.8,0.44,0.51,0.26,0.41,0.57,0.39,0.51,0.4,0.47,0.71,0.44,0.83,0.63,0.13270454
0.1,0.13,0.02,0.13,0.06,0.15,0.22,0.16,0.26,0.17,0.13,0.13,0.12,0.27,0.14,0.12783697
0.09,0.13,0.07,0.1,0.14,0.19,0.14,0.14,0.19,0.16,0.12,0.11,0.06,0.18,0.12,0.0652502
0.07,0.16,0.05,0.11,0.15,0.47,0.2,0.17,0.22,0.52,0.14,0.14,0.12,0.25,0.18,0.06479358
0.24,0.26,0.3,0.45,0.75,0.45,0.42,0.51,0.48,0.01,0.34,0.33,0.42,0.53,0.05,0.13715167
0.05,0.08,0.09,0.12,0.15,0.17,0.15,0.18,0.18,0.23,0.14,0.14,0.12,0.22,0.11,0.06853509
0.0,0.0,0.07,0.0,0.14,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.04235906
0.0,0.01,0.08,0.02,,0.04,0.05,0.15,0.02,0.0,0.02,0.01,0.11,0.02,0.05,0.03896086
0.03,0.07,0.05,0.05,0.07,0.08,0.08,0.08,0.09,0.07,0.06,0.07,0.06,0.08,0.08,0.06463051
0.0,0.01,0.01,0.01,0.05,0.0,0.02,0.04,0.02,0.0,0.01,0.02,0.05,0.02,0.01,0.024858024
0.12,0.09,0.07,0.12,0.06,0.15,0.1,0.11,0.11,0.1,0.08,0.1,0.09,0.14,0.1,0.06419838
0.08,0.07,0.06,0.07,0.07,0.08,0.08,0.09,0.08,0.07,0.07,0.07,0.06,0.11,0.06,0.065314576
0.04,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.08,0.08,0.06,0.06,0.06,0.06,0.07,0.06502152
0.0,0.01,0.01,0.0,0.08,0.06,0.03,0.01,0.01,0.0,0.03,0.01,0.03,0.01,0.03,0.005889899999999999
0.05,0.08,0.05,0.05,0.07,0.14,0.07,0.07,0.08,0.08,0.06,0.08,0.07,0.07,0.08,0.064754054
,,,,0.07,,,,,,0.15,0.14,,,,0.13097025
0.08,0.08,0.06,0.07,0.07,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.07,0.065397315
0.09,0.07,0.07,0.08,0.08,0.12,0.08,0.08,0.09,0.08,0.07,0.07,0.06,0.09,0.07,0.06518873
0.03,0.08,0.05,0.06,0.08,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.06,0.07,0.08,0.06549554
0.05,0.02,0.07,0.02,0.14,0.07,0.03,0.08,0.01,0.76,0.07,0.07,0.09,0.03,0.06,0.04060716
0.12,0.14,0.07,0.21,0.26,0.14,0.15,0.4,0.16,0.1,0.12,0.13,0.17,0.18,0.17,0.062846035
0.02,0.04,0.04,0.16,0.04,0.09,0.09,0.09,0.08,0.1,0.06,0.07,0.05,0.07,0.07,0.06472262
0.1,0.07,0.07,0.12,0.15,0.16,0.1,0.12,0.11,0.12,0.08,0.08,0.09,0.12,0.12,0.06353465
0.03,0.06,0.03,0.07,0.03,0.09,0.09,0.08,0.07,0.12,0.07,0.06,0.08,0.09,0.09,0.065146126
0.11,0.08,0.05,0.1,0.07,0.14,0.1,0.13,0.14,0.08,0.1,0.12,0.09,0.1,0.14,0.06345766
,,0.06085497,0.033199888,0.18,0.064563654,,,,,0.13,0.11,,0.033688712999999995,,0.06325795
0.04,0.06,0.07,0.08,0.04,0.06,0.08,0.08,0.08,0.05,0.06,0.08,0.05,0.08,0.08,0.06396075
0.08,0.07,0.05,0.06,0.07,0.07,0.09,0.06,0.07,0.08,0.06,0.07,0.05,0.07,0.09,0.0632369
0.13,0.21,0.09,0.12,,0.1,0.39,0.67,0.3,0.1,0.17,0.17,0.22,0.25,0.12,0.10477736
0.09,0.08,0.06,0.16,0.06,0.13,0.09,0.12,0.09,0.08,0.08,0.07,0.08,0.1,0.11,0.064976774
0.02,0.07,0.03,0.07,0.04,0.09,0.08,0.15,0.08,0.07,0.06,0.05,0.05,0.08,0.06,0.0640578
0.06,0.07,0.05,0.1,0.06,0.16,0.1,0.09,0.14,0.11,0.07,0.08,0.07,0.12,0.1,0.064824656
0.04,0.08,0.07,0.07,0.04,0.08,0.09,0.07,0.08,0.1,0.07,0.08,0.05,0.07,0.07,0.064183176
0.03,0.06,0.05,0.06,0.07,0.07,0.1,0.06,0.08,0.08,0.06,0.06,0.05,0.08,0.08,0.06386989
0.08,0.07,0.06,0.08,0.11,0.14,0.1,0.12,0.12,0.1,0.09,0.09,0.11,0.12,0.1,0.06403019
0.2,0.29,0.1,0.26,0.06,0.11,0.14,0.07,0.19,0.15,0.22,0.16,0.09,0.2,0.17,0.13259898
0.09,0.1,0.04,0.14,0.1,0.16,0.11,0.11,0.11,0.1,0.08,0.07,0.09,0.1,0.09,0.06302888
0.07,0.07,0.05,0.08,0.09,0.09,0.07,0.12,0.1,0.09,0.06,0.06,0.06,0.09,0.07,0.063775875
0.05,0.05,0.05,0.06,0.05,0.08,0.08,0.12,0.07,0.06,0.06,0.05,0.05,0.06,0.08,0.06405212
0.09,0.08,0.03,0.16,0.07,0.16,0.18,0.1,0.11,0.13,0.07,0.06,0.09,0.16,0.12,0.064207695
0.09,0.06,0.09,0.13,0.07,0.14,0.09,0.09,0.11,0.09,0.08,0.08,0.09,0.1,0.1,0.06288914400000001
,,,,0.16,,,,,,0.22,0.22,,,,0.15674241
0.02,0.07,0.06,0.08,0.05,0.07,0.09,0.05,0.07,0.11,0.06,0.06,0.06,0.06,0.08,0.06224834
0.08,0.1,0.07,0.1,0.07,0.11,0.09,0.12,0.1,0.06,0.07,0.06,0.08,0.09,0.12,0.06664860000000003
0.02,0.06,0.05,0.07,0.04,0.09,0.09,0.1,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.06321671599999999
0.04,0.06,0.04,0.08,0.06,0.09,0.1,0.09,0.08,0.12,0.06,0.09,0.07,0.08,0.07,0.064683616
0.04,0.08,0.04,0.07,0.08,0.08,0.09,0.12,0.07,0.11,0.06,0.06,0.07,0.07,0.05,0.06432663
0.02,0.05,0.04,0.08,0.04,0.08,0.11,0.09,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06437694
0.17,0.13,0.19,0.23,0.05,0.22,0.19,0.34,0.22,0.11,0.14,0.19,0.2,0.22,0.18,0.061562788
0.05,0.07,0.05,0.06,0.05,0.09,0.1,0.06,0.07,0.11,0.06,0.06,0.05,0.06,0.07,0.0647884
0.34,0.29,0.3,0.27,0.34,0.37,0.27,0.22,0.46,0.32,0.22,0.21,0.25,0.42,0.28,0.10635619
0.03,0.02,0.0,0.03,,0.04,0.01,0.1,0.01,0.0,0.0,0.02,0.13,0.01,0.03,0.016590656999999998
0.09,0.0,0.11,0.04,0.06,0.06,0.01,0.01,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0375972
0.02,0.03,0.02,0.03,0.07,0.01,0.01,0.16,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.0128922155
0.06,0.01,0.08,0.02,0.01,0.06,0.0,0.06,0.08,0.28,0.0,0.0,0.01,0.03,0.0,0.044830892
0.04,0.03,0.08,0.02,,0.04,0.04,0.17,0.06,0.0,0.0,0.0,0.08,0.04,0.0,0.02546982
0.13,0.18,0.2,0.03,0.2,0.11,0.02,0.04,0.1,0.1,0.0,0.0,0.0,0.09,0.0,0.04423379
0.02,0.06,0.04,0.01,0.17,0.11,0.09,0.03,0.02,0.0,0.03,0.06,0.01,0.04,0.29,0.005055738
0.0,0.0,0.08,0.0,0.25,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.028264288
0.01,0.02,0.18,0.0,,0.04,0.02,0.18,0.0,0.0,0.01,0.02,0.16,0.01,0.04,0.042492837
0.17,0.19,0.1,0.16,0.09,0.15,0.31,0.29,0.26,0.13,0.14,0.16,0.57,0.24,0.12,0.0
0.0,0.02,0.03,0.03,0.1,0.08,0.06,0.1,0.01,0.0,0.06,0.06,0.09,0.0,0.19,0.026970671
0.01,0.03,0.08,0.01,,0.03,0.02,0.16,0.03,0.0,0.02,0.02,0.07,0.0,0.01,0.006792362
0.05,0.02,0.01,0.01,0.11,0.04,0.03,0.09,0.01,0.0,0.09,0.03,0.1,0.02,0.19,0.060228795
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.0,0.0,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.2,0.0,0.0,0.0981465
0.05,0.01,0.0,0.01,0.01,0.0,0.04,0.02,0.02,0.0,0.03,0.01,0.01,0.0,0.01,0.020311804
0.02,0.06,0.21,0.05,0.07,0.04,0.03,0.11,0.04,0.0,0.0,0.0,0.17,0.11,0.0,0.047687504000000006
0.02,0.01,0.02,0.01,,0.02,0.02,0.17,0.01,0.0,0.01,0.01,0.07,0.01,0.04,0.011673359
0.0,0.02,0.01,0.02,0.02,0.04,0.0,0.01,0.0,0.0,0.05,0.02,0.0,0.01,0.11,0.0308523
0.01,0.05,0.01,0.02,0.06,0.05,0.01,0.05,0.05,0.0,0.02,0.01,0.05,0.02,0.03,0.008965393
0.0,0.05,0.03,0.0,0.07,0.03,0.03,0.01,0.01,0.1,0.03,0.06,0.03,0.0,0.01,0.003383617
0.02,0.0,0.0,0.0,0.18,0.01,0.03,0.06,0.01,0.0,0.03,0.03,0.06,0.01,0.03,0.022827731
0.34,0.38,0.09,0.47,,0.44,0.32,0.17,0.4,0.32,0.21,0.3,0.34,0.38,0.24,0.0
0.02,0.11,0.16,0.03,,0.01,0.02,0.08,0.0,0.14,0.0,0.0,0.02,0.06,0.0,0.01368318
,,,,,,,,,,,,,,,0.0
0.03,0.06,0.01,0.01,0.06,0.05,0.0,0.0,0.02,0.0,0.04,0.0,0.01,0.02,0.06,0.009478608
0.14,0.1,0.07,0.13,,0.17,0.14,0.14,0.21,0.21,0.16,0.13,0.16,0.16,0.11,0.0
0.01,0.0,0.0,0.0,0.07,0.03,0.02,0.01,0.03,0.0,0.04,0.01,0.0,0.0,0.1,0.0073247617000000015
0.34,0.18,0.14,0.22,0.06,0.28,0.67,0.29,0.47,0.5,0.22,0.1,0.31,0.38,0.33,0.0
0.19,0.09,0.1,0.22,0.09,0.16,0.21,0.17,0.22,0.24,0.17,0.16,0.16,0.17,0.14,0.0
0.08,0.23,0.17,0.03,0.08,0.14,0.07,0.16,0.04,0.12,0.0,0.0,0.21,0.11,0.0,0.030509742000000006
,,,,,,,,,,0.16,0.33,,0.07525269999999999,,0.0
0.02,0.03,0.02,0.0,0.07,0.06,0.03,0.02,0.01,0.0,0.03,0.05,0.01,0.02,0.01,0.018948892
,,,,,,,,,,,,,,,0.0
0.01,0.01,0.01,0.02,0.04,0.01,0.02,0.0,0.01,0.0,0.06,0.03,0.03,0.02,0.09,0.054659322
0.0,0.0,0.1,0.0,0.13,0.0,0.0,0.25,0.0,0.14,0.0,0.0,0.32,0.0,0.0,0.10502402
0.26,0.24,0.05,0.58,0.07,0.31,0.61,0.5,0.57,0.29,,,0.46,0.51,0.49,0.0
0.13,0.18,0.08,0.16,0.09,0.23,0.35,0.12,0.3,0.45,0.21,0.15,0.18,0.23,0.29,0.0
0.01,0.0,0.0,0.01,0.04,0.12,0.03,0.03,0.01,0.0,0.05,0.04,0.03,0.02,0.13,0.008088788000000001
0.17,0.21,,0.13,,0.26,0.77,0.11,0.58,0.14,0.19,0.19,0.1,0.36,0.3,0.0
0.03,0.01,0.03,0.01,,0.02,0.06,0.01,0.01,0.0,0.02,0.04,0.01,0.0,0.02,0.014608846000000003
0.14,,0.06,0.12,,0.26,0.65,0.15,0.15,0.14,0.27,0.1,0.17,0.13,0.22,0.0
0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.08431705
0.0,0.0,0.01,0.01,0.22,0.01,0.01,0.15,0.01,0.0,0.03,0.0,0.08,0.02,0.01,0.020189075
0.0,0.0,0.13,0.0,,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.08431705
0.11,0.07,0.18,0.19,0.16,0.23,0.35,0.18,0.35,0.66,0.23,0.07,0.15,0.22,0.22,0.0
0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.07736857
0.37,0.22,0.01,0.19,0.48,0.16,0.28,0.18,0.2,0.22,0.16,0.22,0.14,0.31,0.27,0.0
,,,,,,,,,,,,,,,0.0
0.06,0.04,0.13,0.08,0.17,0.08,0.01,0.07,0.06,0.0,0.0,0.0,0.07,0.09,0.0,0.051039632
,,,,,,,,,,,,,,,0.0
0.0,0.0,0.0,0.0,,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.05640914
0.12,0.17,0.07,0.15,,0.18,0.27,0.15,0.19,0.19,0.16,0.13,0.26,0.18,0.25,0.0
,,,,,,,,,,,,,,,0.0
0.23,0.09,0.1,0.18,0.08,0.12,0.21,0.19,0.22,0.17,0.18,0.14,0.25,0.21,0.2,0.0
0.01,0.01,0.0,0.0,,0.03,0.07,0.04,0.0,0.0,0.02,0.01,0.13,0.0,0.01,0.025208866
0.06,0.02,0.11,0.03,0.07,0.06,0.04,0.01,0.05,0.14,0.0,0.0,0.14,0.03,0.0,0.038705476
,,,,,,,,,,,,,,,0.0
0.02,0.09,0.06,0.02,0.19,0.11,0.07,0.18,0.0,0.0,0.03,0.02,0.19,0.01,0.01,0.02105647
0.04,0.03,0.01,0.0,0.15,0.04,0.01,0.11,0.03,0.0,0.08,0.02,0.06,0.01,0.21,0.07706869
0.01,0.05,0.02,0.0,,0.03,0.01,0.06,0.02,0.14,0.04,0.01,0.07,0.03,0.01,0.034681182000000005
0.04,0.01,0.01,0.01,0.0,0.0,0.03,0.07,0.01,0.15,0.02,0.01,0.04,0.0,0.04,0.008674736
0.02,0.01,0.02,0.01,0.15,0.04,0.07,0.02,0.02,0.0,0.02,0.01,0.02,0.0,0.06,0.008784406
0.0,0.03,0.0,0.01,0.11,0.0,0.01,0.01,0.03,0.1,0.04,0.03,0.06,0.0,0.01,0.012188605
0.03,0.06,0.02,0.01,0.08,0.0,0.01,0.12,0.0,0.0,0.05,0.02,0.17,0.02,0.0,0.06655738
0.01,0.01,0.03,0.02,0.09,0.08,0.0,0.03,0.03,0.0,0.04,0.06,0.06,0.0,0.01,0.009543138
0.16,,0.04,0.21,,0.28,0.39,0.45,0.23,0.16,0.26,0.01,0.13,0.19,0.29,0.0
0.41,0.21,0.17,0.31,0.08,0.28,0.58,0.36,0.42,0.25,0.22,0.14,0.09,0.32,0.32,0.0
0.05,0.01,0.0,0.01,0.04,0.0,0.02,0.03,0.02,0.0,0.0,0.06,0.03,0.01,0.05,0.03729681
,,,,,,,,,,,,,,,0.0
0.14,0.16,,0.76,,0.3,0.47,0.37,0.64,0.16,0.21,0.33,0.02,0.38,0.29,0.0
0.01,0.01,0.04,0.01,,0.04,0.02,0.04,0.0,0.0,0.02,0.01,0.11,0.03,0.01,0.037816636
0.02,0.04,0.07,0.02,0.12,0.0,0.03,0.06,0.04,0.0,0.01,0.01,0.0,0.02,0.08,0.06498577400000001
0.12,0.04,0.03,0.14,0.06,0.14,0.28,0.28,0.21,0.17,0.16,0.17,0.23,0.2,0.27,0.0
0.07,0.01,0.01,0.05,0.07,0.06,0.04,0.08,0.01,0.0,0.07,0.01,0.08,0.0,0.24,0.009604952
,,,,,,,,,,,,,,,0.0
0.05,0.01,0.02,0.0,0.01,0.0,0.0,0.02,0.02,0.0,0.01,0.03,0.06,0.01,0.04,0.022376658
0.14,0.19,0.16,0.26,0.15,0.15,0.19,0.12,0.22,0.31,0.19,0.21,0.12,0.2,0.14,0.13019006
0.07,0.08,0.09,0.09,0.09,0.2,0.11,0.12,0.17,0.14,0.09,0.14,0.14,0.14,0.19,0.06358562
0.08,0.13,0.08,0.11,0.06,0.09,0.11,0.14,0.14,0.12,0.08,0.11,0.14,0.1,0.09,0.06366842
0.05,0.07,0.08,0.13,0.1,0.1,0.1,0.11,0.09,0.1,0.08,0.08,0.13,0.1,0.16,0.06434997
0.09,0.08,0.16,0.13,0.3,0.1,0.2,0.24,0.13,0.12,0.09,0.11,0.25,0.13,0.12,0.06357924
0.05,0.12,0.07,0.12,0.03,0.13,0.11,0.09,0.14,0.14,0.09,0.15,0.13,0.12,0.2,0.06113013
0.12,0.15,0.09,0.19,0.3,0.18,0.17,0.17,0.22,0.21,0.15,0.16,0.21,0.18,0.1,0.13242447
0.09,0.19,0.08,0.11,0.08,0.11,0.09,0.09,0.13,0.17,0.08,0.1,0.11,0.1,0.16,0.06374451
0.15,0.14,0.19,0.36,0.11,0.28,0.24,0.17,0.15,0.16,0.2,0.14,0.18,0.19,0.17,0.06521728
,0.05,,,,0.05,,,,,,,,,,0.0
0.19,0.1,0.08,0.21,0.15,0.19,0.17,0.13,0.23,0.1,0.14,0.17,0.12,0.16,0.22,0.1307687
,,,,,,,,,,,,,,,0.0
0.1,0.1,0.12,0.1,0.03,0.2,0.13,0.11,0.13,0.19,0.1,0.18,0.14,0.16,0.2,0.06239699
,0.06,,,,0.06,,,,,,,,,,0.050000004
0.07,0.09,0.16,0.08,0.12,0.22,0.17,0.14,0.24,0.14,0.12,0.13,0.18,0.18,0.17,0.124047324
0.02,0.03,0.02,0.21,,0.2,0.14,0.16,0.27,0.09,0.18,0.22,0.14,0.27,0.25,0.1616892
,0.06,,,,0.06,,,,,,,,,,0.1
0.03,0.1,0.11,0.18,0.09,0.16,0.18,0.13,0.26,0.12,0.12,0.1,0.09,0.2,0.2,0.06842801
,,,,,,,,,,,,,,,0.0
,0.07,,,,0.07,,,,,,,,,,0.1
0.13,0.06,0.12,0.11,0.03,0.11,0.16,0.12,0.14,0.31,0.1,0.09,0.14,0.15,0.21,0.12233844
,0.05,,,,0.05,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.09,0.07,0.07,0.12,0.07,0.1,0.1,0.12,0.13,0.16,0.08,0.12,0.14,0.11,0.13,0.06405801
0.07,0.07,0.19,0.21,0.05,0.15,0.12,0.12,0.16,0.31,0.12,0.16,0.21,0.16,0.25,0.06186362400000001
,0.05,,,,0.05,,,,,,,,,,0.25
0.08,0.09,0.15,0.14,0.09,0.08,0.11,0.09,0.13,0.24,0.09,0.09,0.1,0.1,0.11,0.06299973
0.06,0.08,0.03,0.14,0.03,0.12,0.11,0.08,0.14,0.34,0.1,0.13,0.11,0.15,0.19,0.066002265
,0.06,,,,0.06,,,,,,,,,,0.2
0.13,0.12,0.24,0.22,0.16,0.17,0.19,0.17,0.22,0.17,0.18,0.22,0.18,0.19,0.13,0.14010869
0.15,0.12,0.15,0.18,0.06,0.19,0.2,0.13,0.18,0.12,0.12,0.18,0.24,0.12,0.17,0.06666583599999999
0.09,0.11,0.1,0.12,0.04,0.15,0.12,0.11,0.12,0.08,0.08,0.11,0.13,0.11,0.15,0.06372356
,,,,,,,,,,,,,,,0.0
0.06,0.06,0.05,0.09,0.21,0.09,0.14,0.13,0.12,0.18,0.08,0.09,0.13,0.11,0.1,0.06354228
,0.05,,,,0.05,,,,,,,,,,0.15
0.08,0.06,0.09,0.08,0.17,0.08,0.15,0.17,0.12,0.09,0.07,0.1,0.1,0.09,0.07,0.06553723
0.12,0.09,0.04,0.16,0.23,0.14,0.15,0.13,0.2,0.16,0.13,0.17,0.14,0.13,0.17,0.15177467
0.37,0.2,0.12,0.22,0.02,0.16,0.2,0.19,0.24,0.27,0.14,0.1,0.22,0.24,0.25,0.15767257
0.08,0.06,0.19,0.13,0.05,0.23,0.13,0.14,0.2,0.19,0.11,0.16,0.18,0.14,0.1,0.12214103
,0.06,,,,0.06,,,,,,,,,,0.0
0.08,0.09,0.06,0.1,0.05,0.16,0.15,0.23,0.14,0.15,0.1,0.15,0.15,0.13,0.07,0.06273837
0.03,0.08,0.04,0.09,0.1,0.08,0.09,0.08,0.12,0.16,0.09,0.09,0.08,0.12,0.1,0.06193034400000001
0.16,0.12,0.05,0.16,0.03,0.1,0.2,0.19,0.17,0.25,0.11,0.19,0.19,0.18,0.18,0.06685877
0.04,0.07,0.08,0.12,0.07,0.09,0.1,0.13,0.12,0.11,0.08,0.12,0.12,0.1,0.15,0.06175954
,0.07,,,,0.07,,,,,,,,,,0.099999994
,,,,,,,,,,,,,,,0.0
,0.05,,,,0.05,,,,,,,,,,0.05
0.07,0.07,0.05,0.12,0.05,0.08,0.1,0.14,0.14,0.09,0.08,0.09,0.11,0.12,0.11,0.06383899999999999
0.11,0.11,0.2,0.22,0.02,0.16,0.2,0.19,0.2,0.15,0.14,0.11,0.17,0.16,0.14,0.12839957
0.04,0.08,0.17,0.11,0.08,0.14,0.1,0.12,0.1,0.13,0.08,0.07,0.12,0.09,0.15,0.06348065
0.01,0.0,0.0,0.01,0.07,0.01,0.02,0.05,0.01,0.0,0.04,0.07,0.02,0.02,0.06,0.0033576996
0.09,0.02,0.04,0.04,0.06,0.0,0.08,0.05,0.02,0.0,0.02,0.03,0.07,0.02,0.11,0.042425085
0.06,0.06,,0.65,,0.21,0.73,0.24,0.57,0.13,,,0.66,0.43,0.21,0.0
0.0,0.01,0.01,0.01,0.01,0.05,0.04,0.01,0.03,0.0,0.04,0.02,0.01,0.02,0.08,0.019043613
0.01,0.04,0.02,0.01,0.04,0.0,0.05,0.04,0.03,0.0,0.02,0.07,0.01,0.01,0.02,0.050692145
0.02,0.03,0.0,0.01,0.02,0.03,0.02,0.11,0.01,0.0,0.03,0.08,0.13,0.02,0.08,0.020112308
0.01,0.06,0.01,0.0,0.01,0.0,0.01,0.05,0.03,0.0,0.01,0.07,0.04,0.02,0.04,0.043577604000000006
0.1,0.16,0.07,0.51,,0.17,0.68,0.49,0.52,0.29,,,0.56,1.01,0.18,0.0
0.04,0.01,0.05,0.03,0.04,0.0,0.05,0.06,0.01,0.0,0.02,0.06,0.08,0.01,0.01,0.045681797
0.01,0.0,0.0,0.01,,0.02,0.02,0.1,0.02,0.0,0.04,0.02,0.04,0.0,0.05,0.025689865
0.35,0.3,0.17,0.29,,0.23,0.87,0.31,0.35,0.31,0.22,0.18,0.32,0.21,0.43,0.0
0.0,0.02,0.0,0.02,0.03,0.0,0.02,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.03,0.00604472
0.07,0.01,0.04,0.01,0.04,0.03,0.01,0.08,0.02,0.0,0.04,0.01,0.08,0.01,0.12,0.038449015
,,,,,,,,,,,,,,,0.0
0.05,0.01,0.03,0.01,0.04,0.05,0.01,0.02,0.01,0.0,0.04,0.03,0.01,0.02,0.06,0.02433085
,,,,,,,,,,,,,,,0.0
0.02,0.11,0.0,0.0,0.39,0.03,0.01,0.02,0.0,0.0,0.04,0.02,0.04,0.0,0.04,0.01525108
0.23,0.0,0.11,0.08,0.06,0.0,0.05,0.13,0.03,0.0,0.01,0.01,0.1,0.04,0.03,0.070195794
0.06,0.04,0.03,0.03,0.02,0.0,0.06,0.12,0.03,0.0,0.05,0.03,0.08,0.0,0.11,0.06448856
0.01,0.01,0.01,0.04,0.02,0.0,0.05,0.11,0.01,0.0,0.04,0.1,0.08,0.0,0.07,0.04304898
0.02,0.01,0.03,0.0,0.06,0.04,0.02,0.02,0.0,0.0,0.03,0.02,0.08,0.01,0.04,0.014975882
0.06,0.07,0.0,0.02,0.08,0.08,0.04,0.03,0.03,0.0,0.06,0.04,0.04,0.01,0.18,0.029536292
0.15,0.13,0.18,0.18,0.05,0.17,0.18,0.24,0.2,0.15,0.14,0.12,0.17,0.17,0.17,0.057984296
0.0,0.03,0.02,0.0,,0.01,0.07,0.19,0.01,0.0,0.02,0.04,0.16,0.0,0.0,0.019803073
0.0,0.01,0.03,0.04,0.05,0.0,0.07,0.06,0.01,0.0,0.02,0.03,0.07,0.01,0.14,0.054153793
0.04,0.04,0.0,0.01,,0.01,0.05,0.06,0.01,0.0,0.02,0.02,0.2,0.02,0.02,0.04111107
,,,,,,,,,,,,,,,0.0
