E_NA1,E_MG1,E_AL1,E_CA1,E_SC1,E_SC2,E_TI1,E_V1,E_CR1,E_CR2,E_FE1,E_FE2,E_CO1,E_NI1,E_Y2,E_FEH
0.13,0.02,0.03,0.09,0.08,0.0,0.05,0.04,0.04,0.0,0.03,0.04,0.04,0.05,0.01,0.035376143
,,,,,,,,,,,,,,,0.0
0.01,0.03,0.01,0.01,,0.04,0.03,0.21,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.006255096999999999
0.01,0.0,0.0,0.01,,0.03,0.01,0.13,0.01,0.14,0.01,0.04,0.05,0.0,0.11,0.020140903
0.05,0.03,0.0,0.02,0.04,0.0,0.06,0.04,0.03,0.0,0.01,0.03,0.04,0.01,0.17,0.03413632
0.19,0.05,,0.2,,0.05,0.18,0.14,0.08,0.17,,,,0.65,0.17,0.15
0.02,0.03,0.0,0.0,,0.05,0.1,0.13,0.03,0.0,0.0,0.02,0.29,0.0,0.06,0.023570174
0.0,0.06,0.0,0.0,0.2,0.04,0.02,0.08,0.0,0.0,0.03,0.05,0.08,0.0,0.05,0.008490562
0.03,0.05,0.0,0.01,0.04,0.0,0.01,0.09,0.02,0.0,0.01,0.03,0.02,0.01,0.05,0.004979439
0.01,0.01,0.0,0.0,0.04,0.0,0.08,0.03,0.01,0.0,0.01,0.02,0.06,0.0,0.04,0.01430216
0.05,0.12,0.06,0.0,0.33,0.05,0.04,0.13,0.06,0.0,0.0,0.0,0.04,0.05,0.0,0.06398009
0.04,0.0,0.07,0.01,0.02,0.0,0.01,0.08,0.03,0.0,0.0,0.0,0.09,0.01,0.01,0.07034321
0.04,0.08,0.15,0.04,0.08,0.13,0.01,0.02,0.08,0.18,0.0,0.0,0.09,0.06,0.0,0.04880249
,,,,,,,,,,,,,,,0.0
0.03,0.01,0.01,0.01,0.13,0.0,0.01,0.09,0.01,0.0,0.01,0.1,0.05,0.0,0.04,0.06617729
,,,,,,,,,,,,,,,0.0
0.1,0.2,0.05,0.16,0.11,0.16,0.17,0.18,0.32,0.35,0.17,0.17,0.18,0.25,0.22,0.0
0.01,0.0,0.02,0.01,0.03,0.0,0.06,0.06,0.01,0.0,0.02,0.04,0.04,0.02,0.08,0.02288066
0.38,0.11,0.19,0.24,0.08,0.21,0.43,0.21,0.36,0.4,0.21,0.15,0.23,0.26,0.28,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.021204768
0.05,0.0,0.02,0.0,,0.03,0.04,0.16,0.01,0.0,0.04,0.05,0.15,0.01,0.01,0.0255991
0.23,0.13,0.19,0.2,0.1,0.28,0.31,0.33,0.28,0.46,0.2,0.1,0.3,0.25,0.28,0.0
0.02,0.06,,0.26,,0.06,0.03,0.21,0.09,0.19,,,,0.31,0.15,0.05
,0.06,,,,0.06,,,,,,,,,,0.05
0.26,0.07,0.09,0.19,0.05,0.17,0.24,0.12,0.23,0.29,0.0,0.0,0.13,0.23,0.0,0.07736858
,,,,,,,,,,,,,,,0.0
0.17,0.09,,,0.23,0.09,0.19,,0.36,0.31,0.31,0.43,,0.03,0.08,0.1
0.04,0.12,0.18,0.16,,0.34,0.34,0.18,0.26,0.59,0.2,0.15,0.69,0.29,0.05,0.0
,,,,,,,,,,0.031988725,,,0.035306647000000004,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.22,0.15,0.12,0.16,,0.19,0.54,0.2,0.25,0.29,0.21,0.2,0.29,0.22,0.26,0.0
0.68,0.06,,0.15,,0.06,0.42,,0.18,0.18,,,0.1,0.27,0.11,0.05
0.01,0.08,0.0,0.0,0.08,0.0,0.09,0.12,0.02,0.0,0.0,0.06,0.1,0.03,0.04,0.026811628
,0.05,,,,0.05,,,,,,,,,,0.1
0.0,0.0,0.12,0.0,0.09,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,0.07,0.01,0.01,0.0,0.06,0.06,0.02,0.0,0.01,0.04,0.02,0.02,0.05,0.023577083
,,,,,,,,,,,,,,,0.0
0.03,0.01,0.01,0.03,0.07,0.0,0.07,0.06,0.02,0.0,0.0,0.01,0.0,0.02,0.08,0.017587077
,,,,,,,,,,,,,,,0.0
0.02,0.03,0.06,0.06,0.03,0.07,0.06,0.01,0.06,0.0,0.0,0.0,0.06,0.01,0.0,0.043249384
,,,,,,,,,,0.0118785,,,0.0211547,,0.0
,,,,,,,,,,0.036375344,,,0.0390353,,0.0
,0.06,,,,0.06,,,,,,,,,,0.1
0.33,0.12,0.05,0.28,,0.19,0.23,0.14,0.22,0.23,0.2,0.17,0.12,0.2,0.25,0.0
,,,,,,,,,,,,,,,0.0
0.12,0.04,0.06,0.11,0.01,0.08,0.04,0.03,0.01,0.0,0.0,0.0,0.01,0.04,0.0,0.045118004
0.04,0.01,0.0,0.01,0.02,0.0,0.06,0.05,0.04,0.0,0.0,0.0,0.1,0.04,0.06,0.0055517224
0.01,0.01,0.06,0.0,,0.01,0.01,0.14,0.02,0.12,0.02,0.02,0.13,0.02,0.04,0.029147714
0.63,0.07,0.2,0.04,0.12,0.0,0.24,0.07,0.26,0.35,0.0,0.0,0.15,0.16,0.4,0.040363014
0.01,0.08,0.05,0.08,0.01,0.0,0.08,0.03,0.02,0.26,0.04,0.07,0.02,0.08,0.0,0.099711746
0.53,0.22,0.15,0.27,0.2,0.03,0.31,0.11,0.13,0.18,0.0,0.0,0.16,0.25,0.0,0.007070743000000002
,0.05,,,,0.05,,,,,,,,,,0.2
,,,,,,,,,,,,,,,0.0
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.007070766
,,,,,,,,,,,,,,,0.0
0.01,0.06,0.01,0.02,0.01,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.0,0.02,0.07,0.02755691
0.05,0.01,0.01,0.01,0.04,0.02,0.0,0.03,0.02,0.08,0.04,0.0,0.08,0.01,0.25,0.022526985
0.02,0.01,0.02,0.01,0.01,0.0,0.06,0.04,0.01,0.0,0.02,0.06,0.04,0.02,0.07,0.03179854
0.35,0.3,,0.33,0.08,0.2,0.8,0.54,0.34,0.21,0.28,0.23,0.23,0.3,0.23,0.3450719
,0.05,,,,0.05,,,,,,,,,,0.05
0.04,0.03,0.02,0.01,0.01,0.0,0.04,0.1,0.02,0.0,0.0,0.01,0.02,0.02,0.02,0.008225164
0.01,0.05,0.02,0.03,0.01,0.0,0.07,0.02,0.01,0.0,0.0,0.02,0.03,0.03,0.02,0.03850634
0.3,0.16,0.09,0.17,,0.2,0.26,0.24,0.22,0.42,0.2,0.25,0.23,0.2,0.25,0.0
0.03,0.01,0.03,0.01,0.03,0.0,0.08,0.08,0.01,0.0,0.02,0.03,0.01,0.01,0.09,0.012746225
0.01,0.03,0.0,0.02,0.06,0.0,0.08,0.09,0.0,0.0,0.02,0.02,0.04,0.01,0.06,0.026654825
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.03,0.17,0.12,0.0,0.0,0.0,0.04,0.02,0.06,0.0,0.0,0.0,0.03,0.01,0.0,0.017772438
0.12,0.07,0.05362476,0.13,0.04,0.2,0.21,0.22,0.18,0.18,0.12,0.11,0.22,0.22,0.29,0.021204714
0.08,0.31,0.11,0.2,0.19,0.2,0.29,0.25,0.26,0.38,0.18,0.27,0.21,0.26,0.25,0.0
,0.07,,,,0.07,,,,,,,,,,0.1
,0.06,,,,0.06,,,,,,,,,,0.05
0.05,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.02,0.01,0.04,0.02,0.03,0.011673359
0.0,0.06,0.03,0.01,0.05,0.0,0.01,0.04,0.01,0.0,0.03,0.02,0.03,0.02,0.03,0.017772406
0.0,0.0,0.01,0.0,0.07,0.03,0.02,0.11,0.01,0.0,0.03,0.05,0.08,0.01,0.01,0.018470453
,,,,,,,,,,,,,,,0.0
0.01,0.02,0.01,0.03,0.06,0.0,0.05,0.06,0.01,0.0,0.0,0.03,0.06,0.04,0.04,0.023284873
0.01,0.05,0.02,0.01,0.04,0.05,0.02,0.04,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.04234271
,0.05,,,,0.05,,,,,,,,,,0.1
0.01,0.02,0.02,0.02,0.0,0.0,0.02,0.02,0.03,0.0,0.01,0.12,0.03,0.02,0.09,0.02219172
0.01,0.02,0.03,0.02,0.01,0.0,0.05,0.1,0.02,0.0,0.02,0.02,0.1,0.01,0.05,0.019514246
0.0,0.03,0.05,0.01,,0.01,0.02,0.15,0.01,0.0,0.02,0.01,0.22,0.01,0.04,0.018286241
,,,,,,,,,,0.28,0.17,,,,0.0
0.05,0.01,0.02,0.02,0.07,0.06,0.03,0.08,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.029466687
,,,,,,,,,,,,,,,0.0
0.02,0.41,0.03,0.31,0.58,0.45,0.17,0.49,0.28,0.49,0.0,0.0,0.0,0.02,,0.056409143
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.04,0.01,0.0,0.08,0.11,0.0,0.03,0.08,0.06,0.0,0.0,0.06,0.07,0.01,0.01,0.015162123
,,,,,,,,,,,,,,,0.0
0.01,0.05,0.02,0.02,0.06,0.0,0.04,0.08,0.02,0.0,0.01,0.01,0.03,0.02,0.01,0.041329265
,,,,,,,,,,,,,,,0.0
0.0,0.23,0.06,0.0,0.06,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.021204773
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.12,0.09,0.2,0.13,0.12,0.28,0.06,0.09,0.3,0.46,0.0,0.0,0.1,0.09,0.23,0.021204771
0.59,0.3,0.01,0.09,,0.36,0.92,,0.59,,0.42,0.23,,0.52,,0.0
,,,,,,,,,,,,,,,0.0
0.25,0.22,0.05,0.21,0.07,0.12,0.23,0.21,0.29,0.16,0.14,0.11,0.09,0.27,0.17,0.0
0.04,0.01,0.02,0.03,0.02,0.0,0.0,0.04,0.03,0.0,0.01,0.01,0.03,0.01,0.04,0.024094837
,,,,,,,,,,,,,,,0.0
0.01,0.0,0.02,0.01,0.06,0.0,0.02,0.07,0.03,0.0,0.0,0.01,0.01,0.01,0.01,0.029038813
0.0,0.02,0.03,0.0,0.0,0.0,0.03,0.08,0.01,0.0,0.03,0.1,0.07,0.01,0.11,0.037663225
0.1,0.07,0.35,0.12,0.17,0.32,0.36,0.19,0.48,0.35,0.22,0.29,0.5,0.3,0.19,0.0
0.02,0.04,0.0,0.0,0.13,0.0,0.04,0.09,0.07,0.0,0.01,0.05,0.03,0.0,0.08,0.022914104
,,,,,,,,,,,,,,,0.0
0.03,0.0,0.03,0.01,0.06,0.0,0.02,0.04,0.03,0.0,0.01,0.01,0.08,0.01,0.04,0.024897201
0.01,0.04,0.02,0.02,0.0,0.0,0.03,0.02,0.01,0.0,0.02,0.03,0.01,0.0,0.02,0.031919993
0.03,0.02,0.01,0.01,0.06,0.0,0.08,0.11,0.01,0.0,0.02,0.09,0.09,0.01,0.11,0.02955988
,,,,,,,,,,,,,,,0.0
0.02,0.0,0.03,0.01,0.04,0.0,0.05,0.04,0.03,0.0,0.02,0.03,0.04,0.02,0.01,0.005359614
,,,,,,,,,,,,,,,0.0
0.33,0.25,,0.54,,0.16,0.53,0.38,0.39,0.21,,,0.49,0.32,0.54,0.0
0.05,0.01,0.03,0.01,0.01,0.0,0.06,0.01,0.0,0.0,0.02,0.02,0.01,0.01,0.05,0.021599773
,,,,,,,,,,,,,,,0.0
0.13,,,,,0.12,0.33,,,0.09,0.14,0.15,0.15,,0.07,0.0
0.02,0.01,0.03,0.0,0.01,0.0,0.01,0.04,0.02,0.0,0.0,0.01,0.01,0.0,0.06,0.012274618
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.01,0.01,0.01,0.05,0.02,0.0,0.05,0.05,0.0,0.0,0.01,0.04,0.04,0.0,0.04,0.014663379
,,,,,,,,,,,,,,,0.0
0.18,0.09,0.16,0.25,,0.18,0.2,0.18,0.22,0.24,0.22,0.21,0.22,0.18,0.27,0.0
,,,0.1,,,,,,,0.18,0.1,,0.12,0.2,0.0
,,,,,,,,,,,,,,,0.0
0.04,0.01,0.01,0.01,0.04,0.0,0.07,0.07,0.01,0.0,0.01,0.02,0.08,0.02,0.2,0.029427579
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.14,0.0,0.0,0.042359058
0.53,,0.0,0.83,,,0.34,0.23,0.42,,0.0,,0.0,0.27,,0.0
0.08,0.0,0.0,0.0,0.09,0.02,0.02,0.12,0.0,0.0,0.07,0.03,0.01,0.0,0.17,0.04784996
0.0,0.01,0.04,0.01,0.04,0.0,0.08,0.0,0.01,0.0,0.02,0.09,0.01,0.0,0.04,0.0066888877
0.01,0.0,0.0,0.02,,0.06,0.08,0.2,0.06,0.0,0.0,0.0,0.19,0.04,0.0,0.002527987
0.06,0.01,0.01,0.0,0.1,0.0,0.0,0.08,0.04,0.17,0.01,0.07,0.0,0.01,0.04,0.006475649
0.01,0.01,0.07,0.01,0.05,0.0,0.01,0.04,0.02,0.0,0.01,0.05,0.01,0.01,0.13,0.04327387
0.02,0.03,0.01,0.02,0.02,0.0,0.08,0.01,0.04,0.0,0.0,0.01,0.01,0.01,0.04,0.006969251
0.11,0.1,0.06,0.44,,0.2,0.41,0.36,0.69,0.29,,,0.39,0.5,0.57,0.0
0.01,0.04,0.01,0.0,0.01,0.0,0.01,0.06,0.06,0.0,0.0,0.01,0.03,0.01,0.09,0.022593422
0.01,0.03,0.08,0.03,0.0,0.0,0.04,0.08,0.04,0.0,0.0,0.08,0.08,0.01,0.08,0.052558400000000005
0.03,0.01,0.01,0.01,0.02,0.0,0.07,0.04,0.0,0.0,0.01,0.03,0.02,0.01,0.1,0.032648493
0.04,0.01,0.05,0.01,0.05,0.0,0.01,0.04,0.01,0.0,0.0,0.01,0.04,0.03,0.01,0.031274773
0.0,0.03,0.0,0.01,0.01,0.0,0.0,0.08,0.02,0.0,0.02,0.0,0.04,0.03,0.09,0.048876032
0.03,0.01,0.0,0.0,0.08,0.0,0.01,0.04,0.02,0.0,0.02,0.06,0.03,0.0,0.02,0.037222773
,,,,,,,,,,,,,,,0.0
0.01,0.01,0.02,0.05,0.03,0.0,0.03,0.03,0.01,0.0,0.01,0.07,0.04,0.02,0.11,0.019809501
0.08,0.02,0.01,0.09,0.02,0.06,0.01,0.07,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.030272976
0.1,0.09,0.03,0.21,0.09,0.26,0.46,,0.1,0.42,0.27,0.16,,0.18,0.48,0.0
0.06,0.0,0.05,0.03,0.0,0.0,0.08,0.03,0.03,0.0,0.02,0.07,0.05,0.02,0.04,0.048613206
0.01,0.0,0.01,0.0,0.03,0.0,0.01,0.06,0.03,0.0,0.03,0.04,0.04,0.01,0.17,0.005837901
,,,,,,,,,,,,,,,0.0
0.27,0.72,0.03,0.38,,0.36,0.62,0.4,0.46,0.43,0.24,0.22,0.56,0.48,0.64,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.05,0.032709695
0.02,0.05,0.02,0.02,0.06,0.0,0.06,0.06,0.02,0.0,0.01,0.04,0.03,0.01,0.01,0.019081801
0.2,0.3,0.21,0.19,,0.19,0.39,0.13,0.28,0.38,0.22,0.21,0.23,0.29,0.35,0.0
,,,,,,,,,,,,,,,0.0
0.15,0.05,0.11,0.25,,0.12,0.2,0.15,0.17,0.21,0.16,0.13,0.16,0.15,0.13,0.0
0.06,0.2,0.15,0.13,,0.19,0.21,0.12,0.25,0.25,0.21,0.19,0.26,0.19,0.29,0.0
0.07,0.03,0.09,0.07,0.07,0.0,0.07,0.01,0.01,0.0,0.03,0.1,0.08,0.04,0.03,0.03664525
0.0,0.03,0.07,0.0,0.01,0.0,0.01,0.06,0.0,0.0,0.01,0.01,0.02,0.01,0.05,0.030245053
,,,,,,,,,,,,,,,0.0
0.01,0.18,0.02,0.0,0.06,0.0,0.02,0.02,0.03,0.0,0.0,0.04,0.01,0.04,0.04,0.02172328
0.01,0.03,0.0,0.01,0.07,0.0,0.01,0.04,0.0,0.0,0.0,0.01,0.02,0.0,0.02,0.004979444
,,,,,,,,,,,,,,,0.0
0.02,0.02,0.04,0.01,0.04,0.0,0.05,0.03,0.02,0.0,0.04,0.0,0.01,0.02,0.01,0.017451374
0.01,0.05,0.0,0.02,0.01,0.0,0.03,0.06,0.02,0.0,0.0,0.02,0.06,0.01,0.03,0.042422257000000005
0.02,0.02,0.0,0.0,0.04,0.0,0.08,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.04046549
0.05,0.01,0.04,0.01,0.03,0.0,0.07,0.08,0.04,0.0,0.01,0.05,0.06,0.0,0.09,0.0067922976
0.02,0.01,0.03,0.01,0.03,0.0,0.02,0.05,0.02,0.0,0.01,0.0,0.03,0.02,0.08,0.017527573
0.18,0.04,0.14,0.03,0.1,0.06,0.22,0.33,0.02,0.0,0.0,0.0,0.2,0.07,0.0,0.08012061599999999
,,,,,,,,,,,,,,,0.0
0.04,0.01,0.0,0.0,0.02,0.0,0.08,0.02,0.02,0.0,0.02,0.05,0.03,0.01,0.06,0.019950511
0.03,0.04,0.06,0.01,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.01,0.04,0.13,0.03260922
,,,,,,,,,,,,,,,0.0
0.02,0.07,0.01,0.0,0.03,0.0,0.01,0.01,0.04,0.0,0.01,0.01,0.01,0.01,0.11,0.026342388
0.1,0.0,0.05,0.07,0.04,0.0,0.08,0.11,0.03,0.0,0.04,0.01,0.06,0.01,0.06,0.06080882
0.01,0.05,0.0,0.01,0.01,0.0,0.08,0.01,0.01,0.0,0.03,0.01,0.05,0.02,0.0,0.0063569634
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.03,0.08,0.0,0.01,0.06,0.0,0.02,0.04,0.03,0.0,0.0,0.07,0.01,0.0,0.02,0.016191516
0.0,0.03,0.0,0.03,0.03,0.0,0.06,0.09,0.02,0.0,0.03,0.03,0.06,0.01,0.17,0.027448015
0.11,0.08,,0.44,,0.4,0.85,0.58,0.67,0.45,,,0.35,0.63,0.57,0.0
0.03,0.0,0.01,0.03,0.03,0.0,0.06,0.04,0.03,0.0,0.0,0.05,0.05,0.01,0.04,0.03600391
,,,,,,,,,,,,,,,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.049390588
,,,,,,,,,,,,,,,0.0
0.13,0.06,0.15,0.2,,0.3,0.44,0.36,0.42,0.29,,,0.26,0.3,0.05,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.18,0.04,0.06,0.2,0.04,0.17,0.17,0.0,0.15,0.16,0.0,0.0,0.16,0.17,0.0,0.035316348
,,,,,,,,,,,,,,,0.0
0.04,0.05,0.01,0.02,0.02,0.0,0.07,0.04,0.01,0.0,0.01,0.02,0.04,0.01,0.08,0.011925408
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.01,0.02,0.03,0.02,0.05,0.0,0.02,0.02,0.01,0.0,0.02,0.0,0.04,0.0,0.08,0.026663315
0.03,0.01,0.02,0.0,0.02,0.0,0.08,0.01,0.0,0.0,0.01,0.01,0.01,0.04,0.12,0.02207693
0.18,0.02,0.12,0.04,0.02,0.06,0.04,0.02,0.03,0.09,0.0,0.0,0.13,0.09,0.0,0.010110319
0.03,0.03,0.03,0.01,0.01,0.0,0.05,0.04,0.01,0.0,0.01,0.0,0.02,0.01,0.04,0.06146973
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.01,0.01,0.01,0.0,0.05,0.0,0.06,0.02,0.02,0.0,0.0,0.06,0.01,0.01,0.06,0.021441208
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.007070766
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.05,0.01,0.01,0.01,0.01,0.0,0.02,0.04,0.02,0.09,0.0,0.01,0.04,0.02,0.04,0.1319085
0.08,0.12,0.01,0.0,0.11,0.03,0.01,0.08,0.05,,0.0,0.0,0.02,0.03,0.0,0.029263815
,,0.12,0.2,,0.42,0.22,0.16,0.2,0.18,0.23,0.16,0.15,0.16,0.11,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.0,0.0,0.01,0.02,0.02,0.0,0.08,0.01,0.01,0.0,0.01,0.03,0.02,0.02,0.15,0.010220225
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.03,0.02,0.0,0.02,0.02,0.0,0.02,0.04,0.0,0.0,0.03,0.01,0.07,0.01,0.04,0.010754763
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.00707075
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,0.0
0.04,0.01,0.01,0.0,0.06,0.0,0.01,0.04,0.01,0.0,0.0,0.04,0.08,0.04,0.04,0.050588347
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.01413962
0.01,0.02,0.01,0.0,0.03,0.0,0.01,0.06,0.0,0.0,0.0,0.01,0.07,0.01,0.0,0.006437745
0.96,0.1,0.06,0.69,,0.15,0.93,0.13,0.66,0.42,,,0.51,0.75,0.38,0.0
0.04,0.0,0.04,0.02,0.16,0.0,0.01,0.14,0.01,0.0,0.01,0.01,0.09,0.01,0.01,0.077693604
0.31,0.57,0.12,0.31,0.21,0.15,0.61,0.42,0.48,0.32,0.25,0.28,0.53,0.34,0.28,0.0
0.03,0.03,0.01,0.0,0.25,0.0,0.03,0.09,0.02,0.0,0.01,0.02,0.05,0.01,0.01,0.040943854
0.01,0.02,0.0,0.01,0.06,0.0,0.0,0.06,0.01,0.0,0.01,0.07,0.03,0.01,0.05,0.028109238
0.2,0.23,0.05,0.31,0.18,0.0,0.08,0.01,0.09,0.28,0.0,0.0,0.17,0.25,0.0,0.084317036
0.01,0.2,0.02,0.01,0.4,0.09,0.07,0.17,0.07,0.29,0.0,0.0,0.01,0.04,0.0,0.046371993
0.04,0.04,0.07,0.01,0.06,0.0,0.07,0.01,0.01,0.0,0.0,0.01,0.02,0.01,0.04,0.04340849
0.07,0.01,0.01,0.04,0.2,0.0,0.01,0.13,0.01,0.0,0.01,0.08,0.1,0.01,0.03,0.07306326
0.0,0.0,0.04,0.04,0.04,0.11,0.05,0.06,0.02,0.0,0.04,0.05,0.06,0.03,0.18,0.010321987
0.01,0.04,0.01,0.04,0.18,0.0,0.05,0.04,0.03,0.0,0.02,0.11,0.01,0.03,0.01,0.06532473
0.02,0.05,0.0,0.0,0.03,0.06,0.05,0.11,0.01,0.0,0.02,0.05,0.17,0.0,0.04,0.021365719
0.09,0.1,,0.53,0.09,0.34,0.66,0.36,0.49,0.38,,,0.67,0.6,0.2,0.0
0.01,0.02,0.02,0.01,0.02,0.0,0.05,0.04,0.01,0.0,0.02,0.02,0.01,0.02,0.02,0.028496614
0.02,0.03,0.04,0.06,0.07,0.0,0.08,0.03,0.02,0.0,0.02,0.0,0.07,0.01,0.06,0.047728073
0.0,0.01,0.0,0.0,0.25,0.0,0.01,0.07,0.04,0.0,0.02,0.04,0.01,0.01,0.01,0.055111192
0.05,0.01,0.02,0.05,0.06,0.0,0.07,0.01,0.01,0.0,0.01,0.0,0.06,0.03,0.01,0.009180182
0.43,0.09,,0.59,0.09,0.12,0.23,0.51,0.68,0.3,,,0.52,0.57,0.19,0.0
0.05,0.03,0.01,0.02,0.04,0.0,0.07,0.01,0.01,0.0,0.03,0.01,0.01,0.02,0.11,0.038008355
0.18,0.15,0.11,0.3,0.13,0.01,0.27,0.13,0.23,0.16,0.0,0.0,0.01,0.18,0.0,0.063412845
,,,,,,,,,,,,,,,0.0
0.01,0.02,0.01,0.01,0.01,0.0,0.07,0.04,0.03,0.0,0.01,0.04,0.01,0.02,0.0,0.036704287
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.021204768
0.03,0.04,0.0,0.04,0.01,0.0,0.07,0.06,0.01,0.0,0.02,0.02,0.07,0.03,0.06,0.05057966
0.01,0.03,0.01,0.03,0.01,0.0,0.07,0.04,0.01,0.0,0.02,0.05,0.08,0.03,0.0,0.023424424
0.0,0.02,0.03,0.02,0.0,0.0,0.09,0.05,0.0,0.0,0.01,0.0,0.05,0.02,0.15,0.032497585
,,,,,,,,,,,,,,,0.0
0.04,0.08,0.0,0.03,0.01,0.0,0.04,0.03,0.02,0.0,0.02,0.04,0.01,0.0,0.02,0.01258006
0.0,0.01,0.01,0.01,0.01,0.0,0.02,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.09,0.04486046
0.01,0.03,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.08,0.01,0.03,0.17,0.02948147
0.04,0.01,0.01,0.04,0.06,0.0,0.01,0.06,0.03,0.0,0.02,0.04,0.04,0.0,0.12,0.056302535999999986
0.0,0.01,0.02,0.04,0.01,0.0,0.01,0.06,0.03,0.09,0.02,0.08,0.03,0.04,0.06,0.020660654
0.08,0.01,0.07,0.05,0.06,0.0,0.0,0.02,0.0,0.0,0.02,0.09,0.08,0.0,0.05,0.07874203
0.0,0.04,0.02,0.0,0.05,0.04,0.02,0.06,0.01,0.0,0.02,0.03,0.04,0.0,0.04,0.061646875
0.07,0.22,0.06,0.01,0.12,0.01,0.04,0.12,0.04,0.0,0.0,0.0,0.13,0.02,0.02,0.019445851
0.04,0.0,0.01,0.02,0.06,0.0,0.01,0.06,0.02,0.0,0.01,0.02,0.01,0.02,0.03,0.023845011
,,,,,,,,,,,,,,,0.0
0.03,0.03,0.04,0.05,0.01,0.0,0.06,0.04,0.02,0.0,0.02,0.08,0.07,0.02,0.05,0.021424763
